name,assigned_fund,balance_assigned,balance_swapped,rr_assigned_pct,rr_swapped_pct,fund_effect
Peter,global,4996362.0,2430492.0,36.0,17.5,-2565870.0
Mary,hong_kong,850862.0,2063587.0,9.1,22.1,1212726.0
