name,start_age,fund,retirement_date,contribution_years,total_contributions,final_balance,total_investment_gain,final_annual_salary,annual_retirement_income,monthly_retirement_income,replacement_ratio,replacement_ratio_pct
Peter,20,global,2045-12,45.1,1443931.0,4859376.0,3415445.0,555156.0,194375.0,16198.0,0.3501,35.0
Mary,40,hong_kong,2025-12,25.1,723931.0,1031068.0,307137.0,374107.0,41243.0,3437.0,0.1102,11.0
